[METADATA]
File: E200-17b
COMMENT: Christofides, Mingozzi and Toth, 1979 (version b)
110: (52, 33), Demand: 11
111: (51, 21), Demand: 5
112: (42, 41), Demand: 19
113: (31, 32), Demand: 29
114: (5, 25), Demand: 23
115: (12, 42), Demand: 21
116: (36, 16), Demand: 10
117: (52, 41), Demand: 15
118: (27, 23), Demand: 3
119: (17, 33), Demand: 41
120: (13, 13), Demand: 9
121: (57, 58), Demand: 28
122: (62, 42), Demand: 8
123: (42, 57), Demand: 8
124: (16, 57), Demand: 16
125: (8, 52), Demand: 10
126: (7, 38), Demand: 28
127: (27, 68), Demand: 7
128: (30, 48), Demand: 15
129: (43, 67), Demand: 14
130: (58, 48), Demand: 6
131: (58, 27), Demand: 19
132: (37, 69), Demand: 11
133: (38, 46), Demand: 12
134: (46, 10), Demand: 23
135: (61, 33), Demand: 26
136: (62, 63), Demand: 17
137: (63, 69), Demand: 6
138: (32, 22), Demand: 9
139: (45, 35), Demand: 15
140: (59, 15), Demand: 14
141: (5, 6), Demand: 7
142: (10, 17), Demand: 27
143: (21, 10), Demand: 13
144: (5, 64), Demand: 11
145: (30, 15), Demand: 16
146: (39, 10), Demand: 10
147: (32, 39), Demand: 5
148: (25, 32), Demand: 25
149: (25, 55), Demand: 17
150: (48, 28), Demand: 18
151: (56, 37), Demand: 10
152: (22, 22), Demand: 18
153: (36, 26), Demand: 26
154: (21, 45), Demand: 11
155: (45, 35), Demand: 30
156: (55, 20), Demand: 21
157: (33, 34), Demand: 19
158: (50, 50), Demand: 15
159: (55, 45), Demand: 16
160: (26, 59), Demand: 29
161: (40, 66), Demand: 26
162: (55, 65), Demand: 37
163: (35, 51), Demand: 16
164: (62, 35), Demand: 12
165: (62, 57), Demand: 31
166: (62, 24), Demand: 8
167: (21, 36), Demand: 19
168: (33, 44), Demand: 20
169: (9, 56), Demand: 13
170: (62, 48), Demand: 15
171: (66, 14), Demand: 22
172: (44, 13), Demand: 28
173: (26, 13), Demand: 12
174: (11, 28), Demand: 6
175: (7, 43), Demand: 27
176: (17, 64), Demand: 14
177: (41, 46), Demand: 18
178: (55, 34), Demand: 17
179: (35, 16), Demand: 29
180: (52, 26), Demand: 13
181: (43, 26), Demand: 22
182: (31, 76), Demand: 25
183: (22, 53), Demand: 28
184: (26, 29), Demand: 27
185: (50, 40), Demand: 19
186: (55, 50), Demand: 10
187: (54, 10), Demand: 12
188: (60, 15), Demand: 14
189: (47, 66), Demand: 24
190: (30, 60), Demand: 16
191: (30, 50), Demand: 33
192: (12, 17), Demand: 15
193: (15, 14), Demand: 11
194: (16, 19), Demand: 18
195: (21, 48), Demand: 17
196: (50, 30), Demand: 21
197: (51, 42), Demand: 27
198: (50, 15), Demand: 19
199: (48, 21), Demand: 20
200: (12, 38), Demand: 5
