[METADATA]
File: E200-17c
COMMENT: Christofides, Mingozzi and Toth, 1979
111: (20, 65), Demand: 12
112: (50, 35), Demand: 19
113: (30, 25), Demand: 23
114: (15, 10), Demand: 20
115: (30, 5), Demand: 8
116: (10, 20), Demand: 19
117: (5, 30), Demand: 2
118: (20, 40), Demand: 12
119: (15, 60), Demand: 17
120: (45, 65), Demand: 9
121: (45, 20), Demand: 11
122: (45, 10), Demand: 18
123: (55, 5), Demand: 29
124: (65, 35), Demand: 3
125: (65, 20), Demand: 6
126: (45, 30), Demand: 17
127: (35, 40), Demand: 16
128: (41, 37), Demand: 16
129: (64, 42), Demand: 9
130: (40, 60), Demand: 21
131: (31, 52), Demand: 27
132: (35, 69), Demand: 23
133: (53, 52), Demand: 11
134: (65, 55), Demand: 14
135: (63, 65), Demand: 8
136: (2, 60), Demand: 5
137: (20, 20), Demand: 8
138: (5, 5), Demand: 16
139: (60, 12), Demand: 31
140: (40, 25), Demand: 9
141: (42, 7), Demand: 5
142: (24, 12), Demand: 5
143: (23, 3), Demand: 7
144: (11, 14), Demand: 18
145: (6, 38), Demand: 16
146: (2, 48), Demand: 1
147: (8, 56), Demand: 27
148: (13, 52), Demand: 36
149: (6, 68), Demand: 30
150: (47, 47), Demand: 13
151: (49, 58), Demand: 10
152: (27, 43), Demand: 9
153: (37, 31), Demand: 14
154: (57, 29), Demand: 18
155: (63, 23), Demand: 2
156: (53, 12), Demand: 6
157: (32, 12), Demand: 7
158: (36, 26), Demand: 18
159: (21, 24), Demand: 28
160: (17, 34), Demand: 3
161: (12, 24), Demand: 13
162: (24, 58), Demand: 19
163: (27, 69), Demand: 10
164: (15, 77), Demand: 9
165: (62, 77), Demand: 20
166: (49, 73), Demand: 25
167: (67, 5), Demand: 25
168: (56, 39), Demand: 36
169: (37, 47), Demand: 6
170: (37, 56), Demand: 5
171: (57, 68), Demand: 15
172: (47, 16), Demand: 25
173: (44, 17), Demand: 9
174: (46, 13), Demand: 8
175: (49, 11), Demand: 18
176: (49, 42), Demand: 13
177: (53, 43), Demand: 14
178: (61, 52), Demand: 3
179: (57, 48), Demand: 23
180: (56, 37), Demand: 6
181: (55, 54), Demand: 26
182: (15, 47), Demand: 16
183: (14, 37), Demand: 11
184: (11, 31), Demand: 7
185: (16, 22), Demand: 41
186: (4, 18), Demand: 35
187: (28, 18), Demand: 26
188: (26, 52), Demand: 9
189: (26, 35), Demand: 15
190: (31, 67), Demand: 3
191: (15, 19), Demand: 1
192: (22, 22), Demand: 2
193: (18, 24), Demand: 22
194: (26, 27), Demand: 27
195: (25, 24), Demand: 20
196: (22, 27), Demand: 11
197: (25, 21), Demand: 12
198: (19, 21), Demand: 10
199: (20, 26), Demand: 9
200: (18, 18), Demand: 17
