[METADATA]
Name: brd14051
Dimension: 14051

[TSP_DATA_INFO]
Type: TSP, Traveling salesman problem (TSP) 
118: (3049, 6691)
119: (3051, 5515)
120: (3051, 5627)
121: (3051, 6572)
122: (3052, 5470)
123: (3052, 6596)
124: (3052, 6753)
125: (3053, 6639)
126: (3055, 5277)
127: (3055, 7323)
128: (3056, 5355)
129: (3056, 7378)
130: (3057, 6012)
131: (3057, 6351)
132: (3058, 6070)
133: (3059, 5387)
134: (3061, 5340)
135: (3061, 5459)
136: (3062, 7227)
137: (3063, 5481)
138: (3063, 6054)
139: (3064, 6217)
140: (3065, 5427)
141: (3065, 5539)
142: (3065, 6534)
143: (3067, 5290)
144: (3067, 5683)
145: (3068, 5383)
146: (3068, 6450)
147: (3068, 6788)
148: (3068, 7146)
149: (3071, 5440)
150: (3072, 5304)
151: (3072, 6121)
152: (3074, 5588)
153: (3075, 5565)
154: (3076, 6326)
155: (3077, 5315)
156: (3078, 6724)
157: (3079, 5467)
158: (3079, 6259)
159: (3080, 5385)
160: (3080, 5663)
161: (3080, 6857)
162: (3082, 5706)
163: (3082, 6348)
164: (3083, 5573)
165: (3083, 6505)
166: (3085, 5359)
167: (3085, 5396)
168: (3086, 7082)
169: (3087, 6768)
170: (3087, 7046)
171: (3088, 5688)
172: (3088, 6091)
173: (3088, 7339)
174: (3090, 6962)
175: (3091, 5488)
176: (3092, 5416)
177: (3093, 5321)
178: (3093, 6059)
179: (3093, 6374)
180: (3093, 6414)
181: (3093, 7177)
182: (3095, 6567)
183: (3096, 6686)
184: (3097, 6766)
185: (3097, 6984)
186: (3098, 5464)
187: (3099, 6275)
188: (3099, 6833)
189: (3100, 4931)
190: (3100, 5512)
191: (3100, 5549)
192: (3101, 5369)
193: (3101, 5593)
194: (3101, 7028)
195: (3102, 5250)
196: (3102, 6459)
197: (3103, 7463)
198: (3104, 5455)
199: (3104, 5526)
200: (3104, 6870)
201: (3105, 5409)
202: (3105, 5568)
203: (3106, 4828)
204: (3106, 5608)
205: (3106, 5749)
206: (3107, 5556)
207: (3107, 6900)
208: (3109, 5365)
209: (3110, 6091)
210: (3111, 5328)
211: (3112, 5381)
212: (3113, 6336)
213: (3115, 5335)
214: (3115, 5517)
215: (3115, 7272)
216: (3116, 5565)
217: (3116, 6445)
218: (3116, 6489)
219: (3117, 5373)
220: (3117, 5535)
221: (3117, 5619)
222: (3117, 7239)
223: (3118, 7194)
224: (3121, 5301)
225: (3121, 5428)
226: (3121, 5487)
227: (3121, 5669)
228: (3122, 5502)
229: (3122, 6617)
230: (3123, 5335)
231: (3123, 5364)
232: (3124, 6563)
233: (3124, 7075)
234: (3125, 7161)
235: (3127, 5578)
236: (3128, 6113)
237: (3129, 5410)
238: (3130, 5389)
239: (3130, 7349)
240: (3131, 5588)
241: (3131, 5757)
242: (3132, 5350)
243: (3132, 5546)
244: (3133, 5435)
245: (3133, 5557)
246: (3135, 6650)
247: (3136, 5261)
248: (3136, 5495)
249: (3137, 6717)
250: (3138, 5313)
251: (3138, 5336)
252: (3138, 5375)
253: (3139, 6528)
254: (3140, 5516)
255: (3140, 6372)
256: (3140, 6807)
257: (3141, 4892)
258: (3141, 4978)
259: (3141, 6324)
260: (3142, 5294)
261: (3142, 5402)
262: (3143, 6440)
263: (3143, 7104)
264: (3144, 6595)
265: (3145, 5877)
266: (3145, 6750)
267: (3145, 7447)
268: (3146, 4853)
269: (3146, 6063)
270: (3147, 5521)
271: (3147, 6176)
272: (3147, 6981)
273: (3148, 5535)
274: (3148, 6097)
275: (3148, 6902)
276: (3148, 7403)
277: (3150, 5236)
278: (3151, 5205)
279: (3151, 5438)
280: (3152, 5369)
281: (3152, 5431)
282: (3152, 5455)
283: (3152, 6204)
284: (3155, 5046)
285: (3155, 5585)
286: (3155, 6637)
287: (3155, 6680)
288: (3155, 6692)
289: (3155, 6704)
290: (3157, 5987)
291: (3158, 5026)
292: (3159, 5266)
293: (3159, 5599)
294: (3159, 5921)
295: (3159, 6482)
296: (3160, 5511)
297: (3161, 5676)
298: (3161, 6627)
299: (3162, 5391)
300: (3162, 5643)
301: (3163, 5592)
302: (3163, 6220)
303: (3163, 6732)
304: (3164, 5563)
305: (3165, 6020)
306: (3166, 5811)
307: (3167, 6844)
308: (3169, 5399)
309: (3169, 5580)
310: (3170, 5448)
311: (3170, 6146)
312: (3170, 6687)
313: (3170, 7025)
314: (3171, 5237)
315: (3171, 6372)
316: (3171, 6748)
317: (3172, 5065)
318: (3172, 5459)
319: (3173, 6642)
320: (3174, 5328)
321: (3174, 5420)
322: (3175, 5337)
323: (3175, 5430)
324: (3175, 6440)
325: (3175, 7163)
326: (3176, 5627)
327: (3176, 7033)
328: (3177, 4911)
329: (3177, 4942)
330: (3177, 6887)
331: (3178, 5525)
332: (3178, 5805)
333: (3179, 5556)
334: (3179, 5776)
335: (3179, 6246)
336: (3179, 7078)
337: (3180, 5215)
338: (3180, 5267)
339: (3180, 5610)
340: (3181, 5286)
341: (3181, 5307)
342: (3182, 6331)
343: (3182, 6578)
344: (3182, 6732)
345: (3182, 6810)
346: (3183, 5015)
347: (3183, 5959)
348: (3183, 7202)
349: (3184, 6759)
350: (3185, 6742)
351: (3185, 6753)
352: (3186, 4989)
353: (3186, 6354)
354: (3186, 6469)
355: (3187, 5232)
356: (3187, 5483)
357: (3187, 6627)
358: (3187, 6649)
359: (3188, 6184)
360: (3188, 6672)
361: (3188, 7242)
362: (3188, 7304)
363: (3189, 5536)
364: (3189, 5714)
365: (3189, 6617)
366: (3190, 5273)
367: (3190, 5586)
368: (3190, 5723)
369: (3191, 5456)
370: (3192, 5340)
371: (3193, 5352)
372: (3194, 5840)
373: (3194, 6531)
374: (3195, 4831)
375: (3195, 6031)
376: (3196, 5438)
377: (3196, 7354)
378: (3197, 5106)
379: (3199, 6722)
380: (3201, 5002)
381: (3201, 5090)
382: (3201, 6507)
383: (3203, 5538)
384: (3203, 6221)
385: (3203, 6930)
386: (3203, 7370)
387: (3204, 5333)
388: (3204, 5476)
389: (3205, 5710)
390: (3205, 6412)
391: (3205, 7014)
392: (3206, 5522)
393: (3206, 7425)
394: (3207, 5407)
395: (3208, 4862)
396: (3208, 6742)
397: (3208, 6743)
398: (3208, 6860)
399: (3209, 5738)
400: (3210, 4941)
401: (3210, 5048)
402: (3211, 5247)
403: (3211, 5448)
404: (3211, 5999)
405: (3212, 5197)
406: (3212, 5335)
407: (3212, 6360)
408: (3212, 6673)
409: (3212, 6732)
410: (3214, 5482)
411: (3214, 5575)
412: (3214, 6564)
413: (3214, 7119)
414: (3215, 4902)
415: (3215, 6709)
416: (3216, 5644)
417: (3216, 6115)
418: (3217, 5290)
419: (3217, 7074)
420: (3218, 6482)
421: (3218, 6673)
422: (3218, 6776)
423: (3219, 5266)
424: (3219, 6636)
425: (3220, 5434)
426: (3220, 5673)
427: (3220, 6396)
428: (3220, 6868)
429: (3221, 5601)
430: (3222, 5796)
431: (3222, 6992)
432: (3224, 5088)
433: (3224, 5317)
434: (3224, 6262)
435: (3225, 6180)
436: (3225, 7283)
437: (3226, 4793)
438: (3226, 5381)
439: (3226, 5477)
440: (3227, 6693)
441: (3227, 6951)
442: (3228, 6241)
443: (3228, 6737)
444: (3228, 7468)
445: (3229, 5531)
446: (3230, 4974)
447: (3230, 6050)
448: (3230, 6303)
449: (3230, 6723)
450: (3231, 6833)
451: (3232, 5026)
452: (3234, 4998)
453: (3234, 6449)
454: (3235, 4927)
455: (3236, 5087)
456: (3237, 5540)
457: (3237, 5636)
458: (3237, 5670)
459: (3238, 5529)
460: (3240, 5428)
461: (3240, 7257)
462: (3241, 5956)
463: (3241, 6777)
464: (3241, 6806)
465: (3242, 5146)
466: (3242, 6753)
467: (3244, 5801)
468: (3244, 6696)
469: (3245, 6479)
470: (3245, 7040)
471: (3246, 4938)
472: (3247, 5335)
473: (3247, 6222)
474: (3247, 6594)
475: (3247, 7384)
476: (3251, 4678)
477: (3251, 5472)
478: (3251, 5513)
479: (3251, 6670)
480: (3252, 5009)
481: (3252, 5041)
482: (3252, 6879)
483: (3253, 5076)
484: (3253, 5248)
485: (3253, 7013)
486: (3253, 7334)
487: (3253, 7451)
488: (3254, 4846)
489: (3254, 6637)
490: (3255, 5100)
491: (3255, 5840)
492: (3256, 5535)
493: (3257, 4816)
494: (3257, 5295)
495: (3257, 5651)
496: (3257, 6251)
497: (3258, 4761)
498: (3258, 4991)
499: (3258, 5272)
500: (3258, 5323)
501: (3258, 6503)
502: (3259, 5411)
503: (3259, 6332)
504: (3260, 4906)
505: (3260, 5310)
506: (3261, 5202)
507: (3261, 6101)
508: (3262, 4969)
509: (3262, 6697)
510: (3262, 6982)
511: (3263, 5031)
512: (3263, 5445)
513: (3264, 6735)
514: (3265, 5341)
515: (3265, 6854)
516: (3266, 4691)
517: (3266, 4825)
518: (3266, 5176)
519: (3266, 5699)
520: (3266, 5731)
521: (3266, 5874)
522: (3267, 6133)
523: (3268, 5461)
524: (3268, 6938)
525: (3269, 5439)
526: (3269, 7278)
527: (3270, 6012)
528: (3270, 6558)
529: (3271, 5375)
530: (3272, 4788)
531: (3272, 5306)
532: (3272, 5388)
533: (3272, 5994)
534: (3273, 6881)
535: (3274, 5784)
536: (3275, 7480)
537: (3276, 6459)
538: (3277, 5606)
539: (3278, 5454)
540: (3278, 7163)
541: (3281, 6521)
542: (3282, 5787)
543: (3282, 6792)
544: (3284, 5484)
545: (3284, 5940)
546: (3285, 7434)
547: (3286, 5411)
548: (3286, 5548)
549: (3286, 5576)
550: (3287, 5527)
551: (3288, 5521)
552: (3288, 5773)
553: (3288, 6170)
554: (3288, 6294)
555: (3289, 6203)
556: (3289, 6817)
557: (3289, 6919)
558: (3291, 4799)
559: (3291, 5696)
560: (3292, 5290)
561: (3292, 5300)
562: (3292, 5375)
563: (3292, 6452)
564: (3294, 6654)
565: (3295, 4746)
566: (3295, 6737)
567: (3296, 4665)
568: (3296, 6114)
569: (3296, 6342)
570: (3296, 6512)
571: (3296, 6602)
572: (3296, 6897)
573: (3296, 7079)
574: (3297, 4626)
575: (3297, 5736)
576: (3298, 5358)
577: (3298, 5440)
578: (3298, 5466)
579: (3300, 5230)
580: (3300, 5798)
581: (3301, 5760)
582: (3301, 5814)
583: (3301, 6897)
584: (3302, 5304)
585: (3302, 6138)
586: (3302, 6364)
587: (3302, 6572)
588: (3303, 5138)
589: (3303, 7012)
590: (3304, 5690)
591: (3304, 6231)
592: (3305, 5337)
593: (3305, 5603)
594: (3305, 6263)
595: (3306, 5484)
596: (3306, 6706)
597: (3307, 5379)
598: (3307, 5765)
599: (3307, 7184)
600: (3308, 4702)
601: (3310, 6391)
602: (3310, 6490)
603: (3310, 6622)
604: (3311, 4974)
605: (3311, 5727)
606: (3312, 6867)
607: (3313, 5421)
608: (3313, 6600)
609: (3313, 6931)
610: (3314, 5898)
611: (3315, 5396)
612: (3315, 5470)
613: (3316, 5293)
614: (3316, 6102)
615: (3317, 4815)
616: (3319, 6878)
617: (3320, 4720)
618: (3320, 4875)
619: (3320, 6859)
620: (3321, 5046)
621: (3321, 6947)
622: (3322, 5956)
623: (3322, 6189)
624: (3323, 4920)
625: (3323, 7155)
626: (3324, 5356)
627: (3324, 7129)
628: (3325, 4566)
629: (3325, 7223)
630: (3327, 6877)
631: (3328, 4727)
632: (3328, 4977)
633: (3328, 6735)
634: (3329, 5833)
635: (3329, 5896)
636: (3329, 6986)
637: (3331, 4601)
638: (3332, 4966)
639: (3332, 5655)
640: (3333, 5005)
641: (3333, 7057)
642: (3334, 4982)
643: (3334, 5056)
644: (3334, 6638)
645: (3335, 6253)
646: (3336, 5075)
647: (3336, 6088)
648: (3336, 6124)
649: (3336, 6360)
650: (3336, 6662)
651: (3336, 6884)
652: (3336, 6942)
653: (3337, 5391)
654: (3337, 5700)
655: (3337, 7128)
656: (3337, 7335)
657: (3338, 5001)
658: (3339, 6065)
659: (3339, 6756)
660: (3339, 6923)
661: (3340, 5173)
662: (3340, 5449)
663: (3340, 5974)
664: (3340, 6424)
665: (3340, 6908)
666: (3341, 4659)
667: (3341, 5625)
668: (3341, 5786)
669: (3341, 6177)
670: (3341, 6305)
671: (3341, 6820)
672: (3341, 7490)
673: (3342, 5015)
674: (3344, 5732)
675: (3345, 6469)
676: (3347, 5287)
677: (3347, 5348)
678: (3347, 5426)
679: (3349, 5064)
680: (3349, 5210)
681: (3350, 5529)
682: (3351, 4689)
683: (3351, 5577)
684: (3351, 6889)
685: (3351, 7198)
686: (3352, 5041)
687: (3353, 5666)
688: (3353, 7048)
689: (3353, 7376)
690: (3355, 7255)
691: (3356, 4498)
692: (3356, 5072)
693: (3356, 5367)
694: (3358, 7024)
695: (3359, 5689)
696: (3359, 7454)
697: (3361, 5033)
698: (3361, 5094)
699: (3361, 5102)
700: (3362, 5449)
701: (3362, 5549)
702: (3362, 5745)
703: (3362, 5997)
704: (3364, 5185)
705: (3364, 6412)
706: (3364, 6913)
707: (3365, 4644)
708: (3366, 6174)
709: (3366, 6501)
710: (3367, 5141)
711: (3367, 6881)
712: (3368, 5154)
713: (3368, 6993)
714: (3369, 4859)
715: (3369, 5819)
716: (3369, 6698)
717: (3369, 6835)
718: (3369, 6939)
719: (3370, 5090)
720: (3370, 5455)
721: (3370, 5716)
722: (3370, 6111)
723: (3370, 6882)
724: (3371, 6489)
725: (3372, 5049)
726: (3373, 5579)
727: (3374, 5124)
728: (3374, 5671)
729: (3375, 6450)
730: (3375, 6964)
731: (3376, 7219)
732: (3377, 6964)
733: (3378, 6093)
734: (3378, 6531)
735: (3379, 5107)
736: (3379, 5520)
737: (3379, 5933)
738: (3379, 6809)
739: (3380, 5338)
740: (3380, 5354)
741: (3381, 4754)
742: (3381, 6372)
743: (3381, 6556)
744: (3381, 6740)
745: (3382, 4794)
746: (3382, 6232)
747: (3382, 6654)
748: (3382, 6707)
749: (3382, 6860)
750: (3383, 5306)
751: (3383, 5687)
752: (3384, 4561)
753: (3384, 5275)
754: (3385, 4633)
755: (3385, 5061)
756: (3385, 5208)
757: (3385, 5752)
758: (3386, 5049)
759: (3386, 6015)
760: (3386, 6912)
761: (3387, 5007)
762: (3388, 6951)
763: (3389, 4968)
764: (3390, 5100)
765: (3390, 7505)
766: (3391, 5292)
767: (3391, 6971)
768: (3391, 7068)
769: (3392, 5623)
770: (3392, 5909)
771: (3392, 6420)
772: (3393, 7012)
773: (3394, 6258)
774: (3394, 7102)
775: (3395, 4588)
776: (3395, 4600)
777: (3395, 4715)
778: (3395, 5511)
779: (3395, 6795)
780: (3395, 6922)
781: (3396, 5191)
782: (3396, 5248)
783: (3398, 5502)
784: (3398, 5548)
785: (3398, 6296)
786: (3398, 7178)
787: (3398, 7327)
788: (3399, 5661)
789: (3400, 5333)
790: (3400, 5668)
791: (3400, 5685)
792: (3400, 6586)
793: (3401, 5582)
794: (3402, 4998)
795: (3403, 4489)
796: (3403, 5151)
797: (3403, 5391)
798: (3404, 4538)
799: (3404, 6166)
800: (3404, 6633)
801: (3404, 6950)
802: (3405, 7046)
803: (3405, 7136)
804: (3406, 5820)
805: (3406, 6080)
806: (3406, 6194)
807: (3406, 7166)
808: (3407, 5087)
809: (3407, 5309)
810: (3407, 5599)
811: (3408, 4687)
812: (3409, 7117)
813: (3410, 5173)
814: (3410, 5187)
815: (3410, 5543)
816: (3410, 5716)
817: (3410, 6756)
818: (3410, 6776)
819: (3410, 6794)
820: (3411, 4647)
821: (3411, 5356)
822: (3411, 6130)
823: (3411, 6336)
824: (3412, 4629)
825: (3412, 4972)
826: (3412, 6509)
827: (3413, 5304)
828: (3413, 6691)
829: (3413, 7017)
830: (3414, 6901)
831: (3415, 7453)
832: (3417, 5896)
833: (3417, 6022)
834: (3418, 6364)
835: (3418, 6405)
836: (3419, 5117)
837: (3419, 5684)
838: (3419, 6479)
839: (3419, 7010)
840: (3419, 7023)
841: (3421, 5236)
842: (3421, 6973)
843: (3422, 6535)
844: (3423, 5638)
845: (3423, 6053)
846: (3424, 4910)
847: (3424, 5771)
848: (3424, 5917)
849: (3424, 7125)
850: (3425, 5414)
851: (3425, 5430)
852: (3425, 6875)
853: (3426, 6741)
854: (3426, 6776)
855: (3426, 6791)
856: (3426, 6813)
857: (3426, 6823)
858: (3426, 7089)
859: (3427, 4467)
860: (3427, 4522)
861: (3427, 5449)
862: (3427, 5697)
863: (3427, 6294)
864: (3427, 6853)
865: (3427, 7021)
866: (3428, 5978)
867: (3428, 6920)
868: (3428, 6928)
869: (3428, 7032)
870: (3428, 7083)
871: (3429, 4996)
872: (3429, 6986)
873: (3429, 7061)
874: (3430, 5104)
875: (3430, 5573)
876: (3431, 5267)
877: (3431, 5827)
878: (3432, 6245)
879: (3433, 5337)
880: (3433, 6448)
881: (3433, 7140)
882: (3435, 4626)
883: (3435, 5088)
884: (3435, 6929)
885: (3436, 5178)
886: (3437, 4763)
887: (3437, 5506)
888: (3437, 6139)
889: (3437, 6962)
890: (3439, 4569)
891: (3439, 6987)
892: (3439, 7050)
893: (3439, 7260)
894: (3440, 5366)
895: (3441, 7183)
896: (3442, 6865)
897: (3443, 5210)
898: (3443, 5868)
899: (3443, 6472)
900: (3443, 6643)
901: (3443, 7038)
902: (3444, 6338)
903: (3446, 6193)
904: (3446, 6601)
905: (3447, 4664)
906: (3447, 4782)
907: (3447, 5221)
908: (3447, 5295)
909: (3447, 6823)
910: (3447, 7056)
911: (3448, 5196)
912: (3448, 5400)
913: (3448, 6733)
914: (3448, 6794)
915: (3448, 6982)
916: (3449, 5897)
917: (3449, 6720)
918: (3449, 6750)
919: (3449, 7080)
920: (3450, 5111)
921: (3450, 5819)
922: (3450, 5884)
923: (3450, 6727)
924: (3450, 7104)
925: (3451, 5208)
926: (3451, 5798)
927: (3451, 7003)
928: (3452, 5413)
929: (3452, 6766)
930: (3452, 6786)
931: (3452, 7003)
932: (3452, 7042)
933: (3452, 7060)
934: (3453, 5177)
935: (3453, 5623)
936: (3453, 5785)
937: (3453, 6103)
938: (3453, 6750)
939: (3454, 5268)
940: (3454, 5438)
941: (3454, 5754)
942: (3454, 6704)
943: (3454, 6802)
944: (3454, 6996)
945: (3454, 7011)
946: (3454, 7220)
947: (3455, 5324)
948: (3455, 6882)
949: (3455, 9397)
950: (3456, 6905)
951: (3456, 6923)
952: (3457, 4838)
953: (3457, 5286)
954: (3457, 5773)
955: (3457, 5835)
956: (3457, 6936)
957: (3458, 5505)
958: (3458, 6193)
959: (3458, 6514)
960: (3458, 7080)
961: (3458, 7386)
962: (3459, 5231)
963: (3459, 5854)
964: (3459, 6310)
965: (3460, 6417)
966: (3461, 5552)
967: (3461, 5731)
968: (3461, 6163)
969: (3462, 4611)
970: (3462, 6740)
971: (3462, 6837)
972: (3462, 7095)
973: (3463, 5528)
974: (3463, 5651)
975: (3463, 6704)
976: (3463, 6721)
977: (3463, 7038)
978: (3463, 8238)
979: (3464, 4692)
980: (3464, 6272)
981: (3464, 6375)
982: (3465, 4545)
983: (3465, 5796)
984: (3465, 7099)
985: (3465, 7114)
986: (3466, 6125)
987: (3466, 6952)
988: (3466, 7011)
989: (3466, 8314)
990: (3468, 5751)
991: (3469, 5044)
992: (3469, 6999)
993: (3470, 5448)
994: (3470, 6075)
995: (3471, 6541)
996: (3471, 7523)
997: (3472, 4982)
998: (3472, 5226)
999: (3472, 5589)
1000: (3472, 5689)
1001: (3472, 6704)
1002: (3472, 6772)
1003: (3472, 6787)
1004: (3472, 6803)
1005: (3472, 6820)
1006: (3472, 7073)
1007: (3473, 4892)
1008: (3473, 6225)
1009: (3474, 7009)
1010: (3474, 7039)
1011: (3475, 5492)
1012: (3475, 5667)
1013: (3475, 5819)
1014: (3475, 5882)
1015: (3475, 6479)
1016: (3476, 5477)
1017: (3476, 6440)
1018: (3477, 4794)
1019: (3477, 4939)
1020: (3477, 5139)
1021: (3477, 5204)
1022: (3477, 6245)
1023: (3477, 6948)
1024: (3478, 4819)
1025: (3478, 6451)
1026: (3478, 7057)
1027: (3479, 5435)
1028: (3479, 5844)
1029: (3480, 4746)
1030: (3480, 5128)
1031: (3481, 5299)
1032: (3481, 5732)
1033: (3482, 5556)
1034: (3482, 6101)
1035: (3482, 6393)
1036: (3483, 5695)
1037: (3483, 5802)
1038: (3484, 5646)
1039: (3485, 4579)
1040: (3485, 4998)
1041: (3485, 6621)
1042: (3485, 7079)
1043: (3485, 7114)
1044: (3486, 6710)
1045: (3486, 6794)
1046: (3487, 5387)
1047: (3487, 5763)
1048: (3487, 5976)
1049: (3488, 5601)
1050: (3488, 5708)
1051: (3489, 5075)
1052: (3489, 5468)
1053: (3489, 5512)
1054: (3489, 5671)
1055: (3489, 6356)
1056: (3489, 6888)
1057: (3490, 5208)
1058: (3490, 5245)
1059: (3490, 6153)
1060: (3490, 6750)
1061: (3492, 5154)
1062: (3492, 5160)
1063: (3492, 7720)
1064: (3493, 5498)
1065: (3494, 5699)
1066: (3494, 5881)
1067: (3495, 4666)
1068: (3495, 5640)
1069: (3495, 5927)
1070: (3495, 6426)
1071: (3495, 7123)
1072: (3496, 6650)
1073: (3497, 5098)
1074: (3497, 5559)
1075: (3497, 9415)
1076: (3498, 4690)
1077: (3498, 6731)
1078: (3499, 5855)
1079: (3500, 5778)
1080: (3500, 6756)
1081: (3501, 4544)
1082: (3501, 6372)
1083: (3502, 4568)
1084: (3502, 5354)
1085: (3502, 6488)
1086: (3502, 6541)
1087: (3502, 7088)
1088: (3503, 5179)
1089: (3503, 5448)
1090: (3503, 5545)
1091: (3503, 5901)
1092: (3503, 6124)
1093: (3503, 6588)
1094: (3503, 6845)
1095: (3503, 7045)
1096: (3503, 7059)
1097: (3503, 7070)
1098: (3503, 7129)
1099: (3504, 4635)
1100: (3504, 5911)
1101: (3505, 5132)
1102: (3505, 5277)
1103: (3505, 5462)
1104: (3505, 5915)
1105: (3507, 5795)
1106: (3508, 5824)
1107: (3508, 7090)
1108: (3508, 7667)
1109: (3508, 8190)
1110: (3509, 6699)
1111: (3509, 6709)
1112: (3510, 5570)
1113: (3510, 5666)
1114: (3510, 5984)
1115: (3510, 6223)
1116: (3510, 7023)
1117: (3510, 7108)
1118: (3510, 7370)
1119: (3511, 5610)
1120: (3511, 6455)
1121: (3512, 5083)
1122: (3512, 5603)
1123: (3512, 6533)
1124: (3512, 7123)
1125: (3512, 7275)
1126: (3513, 6545)
1127: (3514, 5758)
1128: (3514, 6688)
1129: (3514, 6741)
1130: (3514, 6799)
1131: (3515, 5422)
1132: (3515, 5808)
1133: (3515, 6172)
1134: (3516, 6910)
1135: (3516, 6977)
1136: (3517, 5124)
1137: (3517, 5525)
1138: (3517, 7048)
1139: (3518, 5500)
1140: (3518, 5721)
1141: (3518, 6519)
1142: (3518, 7079)
1143: (3519, 5019)
1144: (3519, 5253)
1145: (3519, 5444)
1146: (3519, 5875)
1147: (3519, 6709)
1148: (3519, 7058)
1149: (3519, 7459)
1150: (3520, 5679)
1151: (3520, 5892)
1152: (3520, 6475)
1153: (3520, 7090)
1154: (3520, 7107)
1155: (3522, 5373)
1156: (3522, 6645)
1157: (3524, 4815)
1158: (3524, 6325)
1159: (3524, 6618)
1160: (3525, 4782)
1161: (3525, 5484)
1162: (3526, 4742)
1163: (3526, 5135)
1164: (3526, 6171)
1165: (3526, 6992)
1166: (3526, 7347)
1167: (3526, 7525)
1168: (3527, 5853)
1169: (3527, 6200)
1170: (3527, 6532)
1171: (3527, 6677)
1172: (3528, 6149)
1173: (3528, 6288)
1174: (3528, 7075)
1175: (3529, 5085)
1176: (3529, 5104)
1177: (3529, 5649)
1178: (3529, 5828)
1179: (3530, 5403)
1180: (3530, 5438)
1181: (3530, 5673)
1182: (3530, 5685)
1183: (3530, 6488)
1184: (3530, 6557)
1185: (3530, 7286)
1186: (3531, 4924)
1187: (3531, 5272)
1188: (3531, 5472)
1189: (3531, 5565)
1190: (3531, 5791)
1191: (3531, 6470)
1192: (3532, 4844)
1193: (3532, 5309)
1194: (3532, 5347)
1195: (3532, 5595)
1196: (3532, 5879)
1197: (3532, 6513)
1198: (3533, 4535)
1199: (3533, 5693)
1200: (3534, 4561)
1201: (3534, 4964)
1202: (3534, 5116)
1203: (3534, 7566)
1204: (3535, 4702)
1205: (3535, 5293)
1206: (3535, 5895)
1207: (3535, 6434)
1208: (3535, 8151)
1209: (3536, 4677)
1210: (3536, 4884)
1211: (3536, 5166)
1212: (3536, 5641)
1213: (3536, 6267)
1214: (3536, 6403)
1215: (3536, 7070)
1216: (3537, 6460)
1217: (3538, 6477)
1218: (3540, 5953)
1219: (3540, 6450)
1220: (3540, 6536)
1221: (3541, 5192)
1222: (3541, 5545)
1223: (3541, 6668)
1224: (3541, 6733)
1225: (3541, 6802)
1226: (3542, 6424)
1227: (3542, 6882)
1228: (3542, 8224)
1229: (3543, 4551)
1230: (3543, 4659)
1231: (3543, 5661)
1232: (3543, 5674)
1233: (3543, 5783)
1234: (3543, 6358)
