[METADATA]
Name: d15112
Dimension: 15112

[TSP_DATA_INFO]
Type: TSP, Traveling salesman problem (TSP) 
118: (12221, 13981)
119: (10058, 11231)
120: (4271, 590)
121: (13574, 9942)
122: (6936, 21125)
123: (11703, 10993)
124: (7344, 3975)
125: (11562, 12175)
126: (8556, 7377)
127: (2722, 6729)
128: (4401, 7481)
129: (4329, 7094)
130: (9506, 10073)
131: (13285, 12288)
132: (9533, 19665)
133: (6205, 2495)
134: (840, 11117)
135: (14676, 3756)
136: (5553, 2152)
137: (9509, 4479)
138: (10036, 5104)
139: (9080, 2438)
140: (2411, 8417)
141: (7662, 4470)
142: (11422, 6323)
143: (7908, 14342)
144: (4283, 16024)
145: (2240, 8798)
146: (6469, 19224)
147: (2274, 10511)
148: (11004, 16298)
149: (8174, 15178)
150: (7598, 11336)
151: (3099, 8971)
152: (10298, 10805)
153: (5522, 22885)
154: (2457, 7494)
155: (4220, 9040)
156: (10544, 10194)
157: (5603, 11372)
158: (5875, 10278)
159: (3466, 7814)
160: (6217, 1002)
161: (10470, 15077)
162: (10781, 5761)
163: (11594, 3196)
164: (12958, 21287)
165: (7435, 2146)
166: (10986, 2262)
167: (9900, 3766)
168: (7432, 1951)
169: (7696, 2856)
170: (9685, 12018)
171: (7136, 4726)
172: (10145, 13401)
173: (10973, 12544)
174: (6443, 22486)
175: (3481, 10269)
176: (10280, 9303)
177: (8182, 14472)
178: (1389, 13253)
179: (3952, 10165)
180: (10309, 11557)
181: (4917, 2941)
182: (3514, 9663)
183: (5395, 7338)
184: (4031, 10632)
185: (997, 7983)
186: (599, 11082)
187: (3771, 7336)
188: (6808, 10485)
189: (4831, 7440)
190: (11499, 13492)
191: (7201, 21847)
192: (13802, 15051)
193: (11228, 20707)
194: (7593, 21785)
195: (16237, 15569)
196: (12558, 20582)
197: (12516, 18069)
198: (16507, 15856)
199: (16758, 16099)
200: (10755, 19902)
201: (9460, 19488)
202: (14240, 19212)
203: (13663, 17470)
204: (15907, 14968)
205: (13357, 19436)
206: (12665, 19172)
207: (15740, 15480)
208: (13204, 20141)
209: (16926, 16335)
210: (10739, 19071)
211: (16833, 15998)
212: (10924, 10800)
213: (10712, 18541)
214: (14317, 20292)
215: (6956, 4111)
216: (16446, 16767)
217: (17909, 11730)
218: (10681, 14631)
219: (16161, 13501)
220: (4524, 5944)
221: (6113, 3790)
222: (12673, 3582)
223: (11024, 6191)
224: (14043, 21794)
225: (12814, 4744)
226: (3631, 12268)
227: (2202, 9875)
228: (9099, 13763)
229: (13464, 12450)
230: (3815, 7518)
231: (6173, 13657)
232: (15761, 10703)
233: (11318, 10762)
234: (3313, 14613)
235: (11449, 10041)
236: (10062, 13548)
237: (7025, 7560)
238: (13072, 11285)
239: (9658, 9906)
240: (4171, 9353)
241: (12946, 6280)
242: (10273, 7524)
243: (10141, 9909)
244: (11303, 9884)
245: (3022, 6825)
246: (9377, 11778)
247: (14063, 20019)
248: (11548, 20772)
249: (13568, 12259)
250: (10665, 15220)
251: (8002, 22018)
252: (15318, 17425)
253: (12691, 18691)
254: (8463, 21907)
255: (2692, 6476)
256: (14359, 22780)
257: (3518, 10342)
258: (9749, 21116)
259: (10727, 8569)
260: (13570, 1858)
261: (9367, 17941)
262: (7472, 19906)
263: (9451, 3321)
264: (13729, 21861)
265: (6646, 3700)
266: (10488, 16816)
267: (6091, 9045)
268: (10071, 1279)
269: (12668, 7289)
270: (8475, 2354)
271: (5318, 3696)
272: (13028, 5340)
273: (14348, 19817)
274: (11185, 14407)
275: (12097, 16750)
276: (3090, 8316)
277: (10937, 13419)
278: (9326, 10322)
279: (9352, 11579)
280: (7686, 7248)
281: (14057, 14546)
282: (12786, 3259)
283: (16326, 16601)
284: (14027, 11632)
285: (16060, 17235)
286: (10483, 2551)
287: (8284, 3654)
288: (7120, 2294)
289: (5717, 4137)
290: (2798, 5714)
291: (7335, 4711)
292: (15507, 17612)
293: (12778, 13486)
294: (13349, 20439)
295: (12896, 11100)
296: (15636, 17748)
297: (15417, 16331)
298: (2722, 8193)
299: (4273, 6638)
300: (14319, 17771)
301: (5130, 6000)
302: (12829, 9797)
303: (11670, 4675)
304: (10977, 16574)
305: (14084, 11243)
306: (13349, 11324)
307: (13844, 2566)
308: (10873, 3049)
309: (16048, 17012)
310: (16216, 17016)
311: (1956, 8107)
312: (5190, 6396)
313: (939, 8372)
314: (7293, 1638)
315: (2762, 8539)
316: (14251, 18396)
317: (16378, 16794)
318: (8699, 1226)
319: (16232, 20113)
320: (3276, 8183)
321: (15425, 19901)
322: (16334, 16949)
323: (8070, 19984)
324: (6363, 8406)
325: (4382, 7374)
326: (9662, 2013)
327: (12056, 6398)
328: (8626, 17922)
329: (13119, 1820)
330: (9259, 4101)
331: (11363, 13742)
332: (585, 7971)
333: (676, 8450)
334: (15512, 10805)
335: (13447, 12253)
336: (10855, 10461)
337: (5982, 3598)
338: (9132, 12015)
339: (9953, 6268)
340: (8510, 19675)
341: (11856, 6356)
342: (6075, 10618)
343: (6627, 7014)
344: (13330, 2671)
345: (10796, 14613)
346: (7945, 3639)
347: (7724, 930)
348: (10776, 1698)
349: (8394, 10230)
350: (10049, 14330)
351: (6931, 18672)
352: (3007, 9579)
353: (3602, 16094)
354: (10043, 11507)
355: (10170, 17088)
356: (5675, 5732)
357: (5102, 10676)
358: (9930, 10470)
359: (14294, 1258)
360: (15879, 17781)
361: (11619, 15508)
362: (11972, 12743)
363: (3316, 9783)
364: (13788, 19125)
365: (15133, 20386)
366: (4126, 16160)
367: (14274, 10052)
368: (14188, 13684)
369: (15898, 13203)
370: (10975, 13013)
371: (4001, 5671)
372: (4946, 13056)
373: (9406, 5897)
374: (2393, 9179)
375: (14780, 10260)
376: (11024, 1056)
377: (13771, 9787)
378: (6605, 10651)
379: (1862, 9549)
380: (12153, 2309)
381: (6956, 15287)
382: (4071, 18265)
383: (10553, 16648)
384: (7505, 18877)
385: (10218, 1503)
386: (9979, 10963)
387: (9303, 1877)
388: (11232, 11357)
389: (7745, 18737)
390: (6139, 18945)
391: (7739, 19577)
392: (4255, 7941)
393: (9669, 13077)
394: (4027, 3567)
395: (2268, 9130)
396: (9505, 5414)
397: (1817, 9581)
398: (15114, 18714)
399: (11090, 17178)
400: (1605, 8146)
401: (16460, 15968)
402: (12159, 13558)
403: (8203, 12444)
404: (15143, 13525)
405: (10948, 3501)
406: (2368, 9433)
407: (8187, 980)
408: (3532, 7847)
409: (3357, 8133)
410: (7437, 13980)
411: (6911, 21137)
412: (6538, 22365)
413: (4270, 7643)
414: (7950, 20575)
415: (6507, 19399)
416: (14443, 5504)
417: (12076, 16549)
418: (8091, 22649)
419: (12823, 9482)
420: (4409, 12565)
421: (14033, 5946)
422: (14439, 11406)
423: (13676, 11186)
424: (16191, 11751)
425: (17777, 12209)
426: (14490, 10038)
427: (10851, 10063)
428: (12395, 10020)
429: (3942, 9905)
430: (10108, 10746)
431: (11143, 13436)
432: (8143, 8048)
433: (14121, 3639)
434: (6312, 12463)
435: (8026, 20807)
436: (14420, 5712)
437: (14000, 11519)
438: (10789, 12407)
439: (9143, 18688)
440: (3678, 9397)
441: (14386, 13037)
442: (12686, 8369)
443: (656, 8602)
444: (2674, 7644)
445: (3078, 10286)
446: (9213, 10406)
447: (9912, 3976)
448: (8273, 12149)
449: (13681, 5029)
450: (6513, 8064)
451: (9550, 11465)
452: (13195, 2481)
453: (13168, 1157)
454: (3260, 6971)
455: (3578, 13799)
456: (8872, 21126)
457: (7694, 22022)
458: (8646, 10000)
459: (11076, 13658)
460: (11862, 2375)
461: (6315, 16812)
462: (8191, 18443)
463: (6946, 4927)
464: (9391, 11104)
465: (10081, 14176)
466: (6434, 4740)
467: (4136, 7901)
468: (7573, 6284)
469: (8627, 3494)
470: (3802, 10394)
471: (10002, 14199)
472: (4067, 11720)
473: (3935, 9103)
474: (12078, 3871)
475: (11919, 3429)
476: (7640, 2287)
477: (17250, 14490)
478: (13379, 4658)
479: (3890, 10377)
480: (11322, 14170)
481: (3676, 1739)
482: (4562, 4866)
483: (11887, 3591)
484: (8344, 6683)
485: (9107, 9189)
486: (13823, 12921)
487: (2205, 8851)
488: (12743, 11863)
489: (13644, 10044)
490: (3703, 8759)
491: (3337, 7695)
492: (7327, 4782)
493: (14650, 4436)
494: (14079, 10359)
495: (11559, 7157)
496: (13061, 9802)
497: (14434, 12037)
498: (11369, 11575)
499: (14055, 11048)
500: (6764, 15136)
501: (12992, 4620)
502: (10730, 7783)
503: (3144, 1249)
504: (10104, 3000)
505: (5796, 14128)
506: (5861, 21878)
507: (14423, 10782)
508: (6883, 15646)
509: (9510, 4998)
510: (7855, 20941)
511: (10063, 12600)
512: (7501, 1680)
513: (12682, 11638)
514: (4242, 9368)
515: (11279, 17522)
516: (12026, 10366)
517: (8827, 19167)
518: (8240, 8648)
519: (7374, 8677)
520: (9087, 5715)
521: (9913, 6845)
522: (3486, 19079)
523: (7478, 22974)
524: (10404, 14673)
525: (13483, 13213)
526: (7698, 20418)
527: (1350, 7985)
528: (861, 9277)
529: (14908, 4198)
530: (6115, 23480)
531: (6746, 20462)
532: (5916, 18640)
533: (11997, 1743)
534: (1167, 7154)
535: (9851, 3099)
536: (5173, 9999)
537: (12471, 1818)
538: (15067, 21957)
539: (11732, 13709)
540: (13106, 12360)
541: (2291, 9326)
542: (11302, 3958)
543: (12103, 13554)
544: (11864, 16615)
545: (8777, 2279)
546: (6139, 8021)
547: (13034, 2106)
548: (13072, 18104)
549: (11505, 20355)
550: (13023, 5102)
551: (3695, 8378)
552: (3556, 10467)
553: (10226, 9440)
554: (8869, 3803)
555: (10940, 11899)
556: (7056, 4793)
557: (12485, 4800)
558: (12483, 1414)
559: (12315, 8222)
560: (3091, 1045)
561: (2733, 15448)
562: (4083, 5350)
563: (10777, 10957)
564: (5057, 11477)
565: (11611, 8293)
566: (2208, 8471)
567: (9336, 17778)
568: (11362, 11944)
569: (14704, 3277)
570: (10743, 10302)
571: (8412, 8925)
572: (12901, 8894)
573: (8018, 20406)
574: (2826, 9830)
575: (7816, 9106)
576: (7444, 2036)
577: (4748, 9112)
578: (9843, 8998)
579: (7634, 3666)
580: (11747, 21037)
581: (6354, 13545)
582: (13297, 13210)
583: (4458, 6493)
584: (12291, 12240)
585: (5127, 1951)
586: (6480, 15156)
587: (12744, 9102)
588: (3644, 9267)
589: (5205, 10509)
590: (13102, 1559)
591: (5021, 15459)
592: (12487, 1131)
593: (10410, 12374)
594: (15958, 17068)
595: (6589, 5683)
596: (15200, 3028)
597: (8262, 13979)
598: (16114, 10977)
599: (8716, 13806)
600: (9343, 14005)
601: (11344, 1030)
602: (4988, 4366)
603: (7662, 10856)
604: (2857, 9853)
605: (5445, 8878)
606: (2724, 10250)
607: (4443, 14942)
608: (7178, 13263)
609: (8374, 8751)
610: (10967, 19946)
611: (11927, 11035)
612: (6193, 7340)
613: (9186, 9074)
614: (11613, 11702)
615: (12222, 11091)
616: (10471, 802)
617: (3885, 7722)
618: (3396, 1646)
619: (5071, 11060)
620: (4531, 14774)
621: (9497, 11582)
622: (11900, 12510)
623: (13471, 11803)
624: (9139, 13215)
625: (8938, 10693)
626: (14942, 13046)
627: (5587, 4286)
628: (5927, 13724)
629: (4133, 10195)
630: (7758, 6480)
631: (7217, 15019)
632: (3839, 7614)
633: (1761, 10009)
634: (17513, 13297)
635: (5715, 9317)
636: (7024, 15465)
637: (2456, 9962)
638: (8628, 9138)
639: (5911, 15079)
640: (8938, 20063)
641: (6932, 8844)
642: (4478, 3233)
643: (6807, 14332)
644: (6358, 5736)
645: (14370, 1029)
646: (4723, 3237)
647: (4675, 14779)
648: (16096, 15539)
649: (9320, 13128)
650: (4036, 484)
651: (8249, 14584)
652: (7266, 10089)
653: (5795, 14683)
654: (8713, 10687)
655: (4649, 13137)
656: (16526, 11248)
657: (13579, 13501)
658: (5436, 5700)
659: (7545, 1858)
660: (4363, 8642)
661: (9545, 20413)
662: (8785, 20468)
663: (5125, 8659)
664: (6957, 9060)
665: (8179, 12093)
666: (11536, 9324)
667: (10422, 13549)
668: (13178, 21091)
669: (11439, 11560)
670: (5512, 4007)
671: (9888, 11747)
672: (11548, 1092)
673: (7835, 3699)
674: (7003, 3383)
675: (5706, 8739)
676: (7744, 1595)
677: (11891, 946)
678: (6494, 11671)
679: (11937, 17413)
680: (6478, 5716)
681: (9080, 6524)
682: (9480, 1844)
683: (8035, 1551)
684: (4440, 18136)
685: (4344, 16424)
686: (8693, 14664)
687: (10657, 13677)
688: (10759, 16707)
689: (1338, 8282)
690: (4576, 4258)
691: (9304, 20241)
692: (3449, 8632)
693: (8657, 13645)
694: (4076, 7696)
695: (3317, 1283)
696: (9964, 14351)
697: (14470, 17643)
698: (11396, 16320)
699: (10307, 19444)
700: (10151, 12553)
701: (13095, 13020)
702: (8855, 3545)
703: (9703, 19776)
704: (11887, 18060)
705: (9386, 19472)
706: (3010, 7442)
707: (2753, 8059)
708: (15684, 10802)
709: (15540, 10747)
710: (17123, 14485)
711: (14253, 16775)
712: (15751, 11339)
713: (14312, 9790)
714: (15848, 10829)
715: (5999, 2088)
716: (13307, 9986)
717: (13249, 7580)
718: (15654, 11921)
719: (17205, 12835)
720: (3333, 7389)
721: (648, 11151)
722: (16190, 18876)
723: (3507, 2274)
724: (14955, 12176)
725: (16230, 10968)
726: (10147, 15622)
727: (11540, 10218)
728: (5931, 16189)
729: (11245, 14401)
730: (7204, 20264)
731: (8920, 20263)
732: (17105, 14830)
733: (7538, 1302)
734: (12867, 3163)
735: (11403, 1898)
736: (12270, 1678)
737: (4857, 3447)
738: (10296, 7045)
739: (7567, 1360)
740: (9392, 1656)
741: (13428, 15013)
742: (4766, 16739)
743: (8525, 163)
744: (1402, 7101)
745: (4136, 9290)
746: (1231, 8611)
747: (6658, 16603)
748: (5640, 2062)
749: (11649, 11936)
750: (5864, 2693)
751: (6618, 20122)
752: (8378, 3577)
753: (13568, 11795)
754: (10646, 13542)
755: (11541, 16698)
756: (9986, 11760)
757: (14702, 19068)
758: (3380, 1420)
759: (9644, 11369)
760: (10635, 11439)
761: (11493, 18354)
762: (7052, 4146)
763: (3305, 19900)
764: (4028, 12360)
765: (9290, 2578)
766: (8395, 2380)
767: (10036, 7805)
768: (12899, 16307)
769: (5684, 6151)
770: (10372, 16513)
771: (14528, 20705)
772: (10622, 19045)
773: (12027, 20487)
774: (3893, 9680)
775: (10484, 22163)
776: (15638, 11412)
777: (15920, 20778)
778: (7760, 14582)
779: (12926, 17413)
780: (10046, 19248)
781: (13932, 17672)
782: (9966, 18820)
783: (11114, 19232)
784: (4279, 5319)
785: (12810, 5026)
786: (11860, 14329)
787: (8845, 10645)
788: (10579, 10733)
789: (13951, 14710)
790: (8969, 18461)
791: (5926, 16332)
792: (9225, 18241)
793: (12502, 17360)
794: (6667, 20950)
795: (8588, 19919)
796: (15239, 20308)
797: (7291, 21455)
798: (7813, 21185)
799: (7195, 18955)
800: (8699, 19804)
801: (6340, 22871)
802: (7942, 22270)
803: (6756, 21389)
804: (12339, 19014)
805: (11387, 15048)
806: (6497, 20730)
807: (8591, 21326)
808: (7805, 19996)
809: (9993, 17046)
810: (10317, 14781)
811: (10814, 20276)
812: (13261, 16246)
813: (11408, 19426)
814: (9177, 20034)
815: (11467, 12372)
816: (8934, 17937)
817: (5351, 16622)
818: (6510, 14362)
819: (8835, 21930)
820: (8566, 19289)
821: (14503, 17972)
822: (13124, 17123)
823: (7200, 15344)
824: (12945, 21676)
825: (12741, 21291)
826: (11874, 20986)
827: (10439, 15170)
828: (13262, 21877)
829: (8222, 4186)
830: (14041, 21185)
831: (14480, 20233)
832: (9008, 18612)
833: (9210, 17679)
834: (17353, 12253)
835: (15046, 14687)
836: (5522, 16348)
837: (9724, 16044)
838: (1919, 9370)
839: (3942, 18108)
840: (1400, 9220)
841: (6348, 18914)
842: (14829, 16835)
843: (13413, 17903)
844: (9308, 18826)
845: (13706, 19885)
846: (3144, 9364)
847: (5790, 17022)
848: (8644, 9385)
849: (9134, 19347)
850: (11374, 21076)
851: (13600, 13018)
852: (5554, 11327)
853: (4383, 6686)
854: (2936, 5950)
855: (16135, 16610)
856: (9310, 6908)
857: (9042, 9711)
858: (1940, 9277)
859: (551, 8171)
860: (14087, 17591)
861: (11737, 20113)
862: (2776, 7027)
863: (9949, 8092)
864: (7075, 12045)
865: (2124, 8291)
866: (892, 8251)
867: (17045, 12074)
868: (3257, 16372)
869: (14808, 3205)
870: (13033, 4086)
871: (3737, 7244)
872: (14866, 5509)
873: (14423, 984)
874: (10383, 859)
875: (11433, 7980)
876: (12504, 802)
877: (8789, 20285)
878: (9092, 12223)
879: (10831, 15168)
880: (7847, 11159)
881: (3650, 9125)
882: (4145, 7344)
883: (3464, 7121)
884: (3112, 7425)
885: (9368, 5454)
886: (10576, 10214)
887: (10595, 11153)
888: (4717, 7313)
889: (4535, 7564)
890: (7494, 18813)
891: (6926, 15490)
892: (5515, 17076)
893: (10475, 14689)
894: (1431, 6384)
895: (4401, 13680)
896: (14109, 12914)
897: (1409, 11406)
898: (759, 13843)
899: (6043, 19486)
900: (3007, 6882)
901: (9537, 9366)
902: (8716, 16409)
903: (4559, 14232)
904: (13988, 15222)
905: (10362, 15161)
906: (14581, 18492)
907: (12877, 12980)
908: (16043, 15955)
909: (6144, 6788)
910: (13102, 9691)
911: (14128, 11494)
912: (11558, 13532)
913: (11632, 13087)
914: (16493, 15179)
915: (3415, 15834)
916: (13709, 20556)
917: (13978, 17076)
918: (10344, 16632)
919: (13949, 20240)
920: (9470, 19709)
921: (14066, 21406)
922: (10465, 15391)
923: (13200, 20836)
924: (6837, 22434)
925: (11965, 17010)
926: (9351, 21752)
927: (9257, 11329)
928: (9058, 9433)
929: (14655, 11908)
930: (10711, 11991)
931: (10840, 20161)
932: (7156, 20269)
933: (13852, 9985)
934: (15498, 16731)
935: (12951, 10380)
936: (9904, 14632)
937: (1498, 8158)
938: (11294, 5112)
939: (14265, 13153)
940: (2670, 8591)
941: (6830, 5110)
942: (8192, 3353)
943: (9415, 9604)
944: (1971, 9094)
945: (7184, 20454)
946: (7200, 20418)
947: (1753, 7776)
948: (8712, 20977)
949: (7030, 21072)
950: (2771, 8197)
951: (14396, 12886)
952: (13276, 12083)
953: (3126, 8026)
954: (2698, 9449)
955: (2975, 8421)
956: (11423, 13402)
957: (8446, 2623)
958: (4676, 5614)
959: (12339, 19797)
960: (15715, 19417)
961: (4040, 10064)
962: (11769, 16041)
963: (9763, 12122)
964: (4636, 15392)
965: (9239, 9781)
966: (10529, 18544)
967: (10471, 15473)
968: (3080, 8557)
969: (6357, 20087)
970: (13273, 14903)
971: (6700, 3618)
972: (10215, 12423)
973: (12360, 17268)
974: (8181, 18562)
975: (9026, 21813)
976: (7089, 20931)
977: (3359, 9543)
978: (11253, 920)
979: (2278, 8307)
980: (12122, 20606)
981: (13019, 14975)
982: (10669, 16885)
983: (12801, 13068)
984: (13271, 11528)
985: (11159, 13079)
986: (9636, 13358)
987: (13579, 12485)
988: (4037, 6996)
989: (9901, 18951)
990: (8703, 1724)
991: (6671, 4793)
992: (11880, 12787)
993: (10433, 12706)
994: (12769, 15759)
995: (9421, 10146)
996: (5426, 7154)
997: (11532, 17650)
998: (12320, 21077)
999: (14360, 20637)
1000: (11167, 20404)
1001: (9924, 13892)
1002: (3382, 8261)
1003: (11972, 5315)
1004: (14516, 11410)
1005: (15630, 12008)
1006: (11233, 5305)
1007: (14600, 719)
1008: (2127, 9131)
1009: (2112, 8983)
1010: (10772, 15762)
1011: (2115, 9971)
1012: (3831, 9002)
1013: (7418, 1260)
1014: (11110, 1715)
1015: (11806, 9352)
1016: (11201, 6015)
1017: (10814, 3838)
1018: (12535, 10544)
1019: (7730, 1371)
1020: (3893, 16383)
1021: (13607, 16440)
1022: (11773, 18294)
1023: (10879, 16151)
1024: (2963, 7542)
1025: (13698, 1247)
1026: (10535, 5207)
1027: (12801, 9669)
1028: (10062, 17195)
1029: (8168, 16905)
1030: (14575, 22097)
1031: (3295, 8242)
1032: (6970, 21842)
1033: (13631, 16575)
1034: (10714, 11031)
1035: (6775, 21670)
1036: (9860, 16115)
1037: (14617, 16648)
1038: (16114, 11055)
1039: (4059, 3185)
1040: (4244, 9022)
1041: (10859, 4234)
1042: (1552, 11260)
1043: (13192, 14760)
1044: (16114, 19121)
1045: (14225, 15600)
1046: (7762, 3273)
1047: (2539, 11346)
1048: (3643, 13268)
1049: (11123, 2629)
1050: (2581, 6981)
1051: (7061, 4487)
1052: (12293, 3044)
1053: (2038, 7606)
1054: (3566, 11395)
1055: (8574, 8111)
1056: (14460, 17435)
1057: (8364, 7794)
1058: (1770, 8162)
1059: (13306, 13823)
1060: (12212, 15658)
1061: (7380, 21015)
1062: (10032, 12376)
1063: (9020, 11407)
1064: (8374, 11080)
1065: (9047, 9501)
1066: (8053, 12022)
1067: (11095, 16396)
1068: (16295, 15745)
1069: (14296, 14932)
1070: (9429, 19820)
1071: (8414, 1959)
1072: (15177, 18559)
1073: (16290, 17930)
1074: (824, 8444)
1075: (14814, 16166)
1076: (13136, 18255)
1077: (1624, 9043)
1078: (8695, 12699)
1079: (10697, 11451)
1080: (6877, 986)
1081: (8225, 10484)
1082: (9414, 10253)
1083: (2351, 9123)
1084: (4584, 7182)
1085: (4326, 7463)
1086: (13806, 9857)
1087: (4089, 1250)
1088: (13289, 1254)
1089: (15125, 16686)
1090: (9866, 1008)
1091: (11611, 13804)
1092: (1573, 9257)
1093: (12876, 11667)
1094: (4130, 8940)
1095: (5348, 18112)
1096: (11108, 5776)
1097: (12910, 5338)
1098: (11719, 20406)
1099: (2286, 7976)
1100: (10975, 1416)
1101: (14204, 4810)
1102: (13770, 10024)
1103: (14513, 13759)
1104: (13553, 10605)
1105: (10785, 10034)
1106: (16266, 12611)
1107: (12324, 9970)
1108: (8281, 3408)
1109: (17857, 11725)
1110: (10334, 20128)
1111: (8550, 12206)
1112: (9209, 12532)
1113: (3632, 10224)
1114: (4096, 9711)
1115: (594, 8256)
1116: (2658, 6919)
1117: (2930, 7512)
1118: (4283, 16201)
1119: (8959, 11364)
1120: (16649, 11669)
1121: (13767, 11213)
1122: (14945, 10959)
1123: (15689, 18506)
1124: (11812, 15537)
1125: (11883, 16698)
1126: (17706, 11211)
1127: (3176, 19495)
1128: (4217, 9900)
1129: (3393, 10252)
1130: (9688, 14263)
1131: (10726, 17842)
1132: (1844, 7506)
1133: (9860, 21235)
1134: (7049, 20816)
1135: (4636, 9623)
1136: (9614, 19168)
1137: (14726, 19871)
1138: (6486, 4957)
1139: (9851, 18606)
1140: (6704, 8004)
1141: (15265, 15339)
1142: (5092, 12408)
1143: (7830, 14721)
1144: (12590, 11094)
1145: (1680, 9070)
1146: (3958, 8922)
1147: (1684, 8550)
1148: (8841, 9871)
1149: (916, 8129)
1150: (3988, 10649)
1151: (8813, 17954)
1152: (11131, 7137)
1153: (7370, 2217)
1154: (9043, 1021)
1155: (13482, 16889)
1156: (5075, 3031)
1157: (13245, 12390)
1158: (9050, 11311)
1159: (11721, 11019)
1160: (3083, 8770)
1161: (10864, 10210)
1162: (12095, 12320)
1163: (2302, 8539)
1164: (7032, 3630)
1165: (8816, 12445)
1166: (1924, 7403)
1167: (6109, 2010)
1168: (11642, 17361)
1169: (14713, 18008)
1170: (14742, 3636)
1171: (11160, 10546)
1172: (13682, 10281)
1173: (12469, 18039)
1174: (7804, 19901)
1175: (7264, 13944)
1176: (6008, 18880)
1177: (7028, 13339)
1178: (2580, 6198)
1179: (11391, 14580)
1180: (10977, 12753)
1181: (12293, 14199)
1182: (4116, 2931)
1183: (7822, 2152)
1184: (9947, 9682)
1185: (9925, 3449)
1186: (8651, 3071)
1187: (5075, 7165)
1188: (11288, 20010)
1189: (9126, 9603)
1190: (12108, 4309)
1191: (11260, 955)
1192: (5437, 7446)
1193: (3244, 8625)
1194: (1137, 8366)
1195: (8925, 12034)
1196: (9771, 1292)
1197: (4512, 7540)
1198: (8380, 7343)
1199: (4042, 7785)
1200: (8231, 6592)
1201: (6870, 8632)
1202: (3027, 8201)
1203: (14853, 11386)
1204: (5316, 10156)
1205: (5125, 7506)
1206: (4090, 9126)
1207: (5322, 10998)
1208: (4138, 2508)
1209: (11630, 14930)
1210: (3024, 6083)
1211: (4345, 6938)
1212: (16686, 15615)
1213: (17995, 12497)
1214: (16336, 12455)
1215: (16308, 11051)
1216: (5383, 14484)
1217: (9863, 12793)
1218: (11341, 20948)
1219: (11835, 13669)
1220: (9162, 17975)
1221: (9904, 11297)
1222: (11425, 14337)
1223: (1044, 8359)
1224: (10197, 16716)
1225: (709, 7966)
1226: (12931, 18171)
1227: (15857, 18098)
1228: (16248, 18357)
1229: (10960, 13162)
1230: (15218, 16971)
1231: (9600, 1349)
1232: (4607, 4729)
1233: (6460, 4847)
1234: (15687, 18572)
1235: (4092, 9765)
1236: (2948, 14420)
1237: (6681, 6077)
